company,location,position,time
Facebook,"Menlo Park, CA","Core Data Science, PhD University Grad",8
Splunk,"San Jose, CA","Senior Data Scientist, Security Innovation & Data Science (Remote ok)",
Stamps.com,"El Segundo, CA",Data Analyst - Finance,5
Bluestem Brands,"El Segundo, CA",Data Scientist,
Apple,"Santa Clara, CA",Data Science & Machine Learning Engineer- iPhone Operations,13
Epicor Software,"Dublin, CA","Sr. Analyst, Industry Data Analytics & Data Sciences",13
ESRI,"Redlands, CA",Data Science Product Engineer - ArcGIS API for Python,6
Cox Enterprises,"Redwood City, CA",Data Scientist,6
J.P. Morgan,"Palo Alto, CA","Commercial Banking Data Science, Analytics & Insights",15
"Operam, Inc","Los Angeles, CA","Director, Data Science",23
Euclid Analytics,"San Francisco, CA",Product Manager - Data Science&Machine Learning,14
Egnyte,"Mountain View, CA",Data Analysis Manager,20
Samsung Research America,"Mountain View, CA",Senior Data Science Engineer - Visual Display,
Credit Karma,"Venice, CA",Engineering Manager,14
Outset Medical,"San Jose, CA",Staff Data Scientist,
Ascent Services Group,"Emeryville, CA",Clinical Science Data Reviewer,23
Chegg,"Santa Clara, CA","Manager of Data Science, Consumer Analytics",26
Bain&Company,"San Francisco, CA",Data Scientist,14
Entech Network Solutions,"Los Angeles, CA",Data Scientist,
Boot Barn,"Irvine, CA",Data Scientist,8
Google,"Mountain View, CA","Head of Data Science and Predictive Analytics, Google Marketing Solutions",4
Acxiom,"Redwood City, CA",Data Scientist,
Affirm,"San Francisco, CA",Machine Learning Engineer,
ThoughtWorks,"San Francisco, CA",Senior Data Engineer,19
Walmart eCommerce,"Sunnyvale, CA",Senior Product Manager,14
Verticalmove,"Palo Alto, CA",Data Analyst - Data Science/AI/Machine Learning,12
Two95 International Inc.,"San Francisco, CA",Associate Director Data Science and Analytics,20
Samsung Accelerator,"San Francisco, CA",Developer Evangelist - Data Science and Deep Learning,15
Robinhood,"Menlo Park, CA",Data Scientist,
Scoop,"San Francisco, CA",Data Scientist,6
CareerMonks,"Los Angeles, CA",Data Science Consultant,26
Treasure Data,"Mountain View, CA",PMM Director,
Amazon,"Sunnyvale, CA","Manager, Research Data Science",22
Rang Technologies Inc.,"San Mateo, CA",Data Scientist,6
